EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,PerformanceRating,DistanceFromHomeKM,OverTime,JoinDate,Attrition,EmployeeCountFlag,RandomSurveyCode
EMP10507,23,Female,Finance,Accountant,Bachelor's,2227.56,8,3.0,1,1.8,No,2019-07-23,No,1,448909
EMP10740,29,Male,Finance,Accountant,High School,5558.6,15,1.0,3,5.7,Yes,2022-02-16,No,1,724794
EMP10278,45,Female,sales,Brand Manager,,6167.63,3,4.0,1,16.7,No,2016-07-16,Yes,1,571964
EMP10929,35,Male,HR,HR Manager,Bachelor's,5492.97,0,1.0,2,0.8,Yes,2024-08-19,No,1,397616
EMP10632,34,Male,Support,Support Lead,Bachelor's,5433.06,1,,3,9.6,No,2015-03-23,No,1,441126
EMP11044,31,Male,Support,Support Executive,Bachelor's,6027.28,1,3.0,4,10.9,Yes,2016-02-25,No,1,380197
EMP10517,52,Male,Sales,Sales Manager,Master's,4787.37,0,4.0,1,9.9,Yes,2018-03-28,No,1,375633
EMP10655,25,Male,Engineering,Software Engineer,Bachelor's,4078.88,6,2.0,2,13.5,Yes,2016-10-29,No,1,304891
EMP11037,35,Male,Marketing,Marketing Executive,Bachelor's,2542.11,0,4.0,2,4.3,No,2023-05-27,No,1,615948
EMP10758,35,Male,Finance,Accountant,Bachelor's,4985.02,1,4.0,4,6.8,No,2020-11-26,No,1,893756
EMP10034,49,Male,Support,Support Lead,Bachelor's,4199.57,0,3.0,4,2.4,No,2016-03-20,No,1,287438
EMP11017,26,Male,Marketing,Brand Manager,Bachelor's,4613.32,0,1.0,1,10.6,No,2024-10-03,Yes,1,432944
EMP10146,33,Male,Engineering,Software Engineer,High School,1200.0,4,2.0,1,0.5,No,2018-04-07,No,1,874410
EMP10721,46,Female,Finance,Analyst,Bachelor's,3249.48,0,3.0,3,5.8,No,2019-09-10,No,1,578689
EMP10350,35,Female,Support,Support Lead,Bachelor's,8199.27,0,4.0,2,25.8,No,2023-05-05,No,1,708691
EMP10135,26,Female,Sales,Sales Manager,Bachelor's,4021.79,2,1.0,1,1.5,No,2018-12-28,No,1,564179
EMP10488,35,Female,HR,HR Manager,Bachelor's,3193.46,0,1.0,1,0.5,No,2024-01-05,No,1,770409
EMP10454,41,Male,HR,HR Executive,Master's,41019.93508181599,2,3.0,4,3.9,No,2016-11-10,No,1,189103
EMP10272,21,Male,sales,HR Manager,PhD,6987.15,0,1.0,3,4.3,No,2016-04-27,No,1,589691
EMP10755,34,Female,Engineering,Software Engineer,Bachelor's,5081.09,12,1.0,1,3.9,No,2019-04-20,No,1,399868
EMP10792,46,Female,Support,Support Lead,Master's,5501.17,11,3.0,2,0.5,No,2016-11-13,No,1,400521
EMP11179,36,Male,Sales ,Sales Executive,Bachelor's,4444.9,3,3.0,4,4.2,Yes,2020-04-09,No,1,533417
EMP10172,48,Male,Marketing,Brand Manager,Bachelor's,5709.97,1,1.0,3,6.7,No,2024-08-03,No,1,630071
EMP10679,40,Female,Support,Support Lead,Bachelor's,7915.93,13,1.0,4,3.1,Yes,2017-11-11,No,1,814011
EMP11012,36,Female,Finance,Accountant,Bachelor's,7975.59,1,4.0,2,15.6,No,2021-01-25,No,1,124882
EMP10110,32,Male,HR,HR Executive,Bachelor's,,2,4.0,2,0.9,No,2023-07-10,No,1,394562
EMP10262,36,Male,Sales,Sales Executive,Bachelor's,3110.72,2,1.0,1,2.8,No,2018-08-28,No,1,620547
EMP10363,37,Male,SALES,Senior Engineer,Master's,6798.71,2,2.0,3,5.1,No,2019-07-09,No,1,173298
EMP10280,44,Male,Sales,Sales Manager,Master's,4600.42,1,2.0,2,3.8,No,2024-09-06,No,1,296150
EMP10832,41,Male,Support,Support Executive,Bachelor's,4240.55,1,4.0,2,2.2,No,2020-12-16,Yes,1,724992
EMP10128,33,Female,Finance,Accountant,Bachelor's,2232.88,5,3.0,3,8.0,No,2016-09-12,Yes,1,623089
EMP10216,34,Female,Finance,Analyst,Bachelor's,3514.49,2,4.0,1,12.9,No,2025-02-10,No,1,724702
EMP10824,27,Female,HR,HR Manager,Master's,4926.87,2,3.0,3,8.6,No,2024-02-20,Yes,1,314227
EMP10665,34,Male,Sales,Sales Executive,Bachelor's,3187.41,2,4.0,2,1.9,yes,2019-06-11,No,1,458487
EMP10936,40,Male,Finance,Analyst,Master's,5428.59,1,1.0,2,7.2,No,2023-05-16,No,1,306405
EMP10462,150,Female,Support,Support Lead,Bachelor's,6774.39,0,1.0,4,6.5,No,2016-04-03,No,1,158383
EMP10587,25,Male,Finance,Analyst,Bachelor's,7210.18,5,,1,3.3,Yes,2023-09-21,Yes,1,250725
EMP10463,39,Female,Finance,Analyst,Bachelor's,4515.58,2,4.0,2,,No,2016-12-23,No,1,407217
EMP10051,41,Female,Engineering,QA Engineer,Master's,3985.58,1,4.0,4,11.3,No,2020-03-26,Yes,1,503420
EMP10796,36,Male,Support,Support Lead,Master's,4027.19,0,3.0,1,25.5,No,2015-05-11,No,1,927308
EMP10752,24,Female,Engineering,QA Engineer,High School,4230.28,5,1.0,3,6.0,No,2016-03-29,Yes,1,405196
EMP10902,31,Male,sales,Brand Manager,High School,36515.453955130775,4,3.0,1,6.2,No,2021-05-05,Yes,1,166224
EMP10590,23,Female,HR,HR Executive,Bachelor's,3018.08,0,1.0,1,2.1,No,2015-09-21,Yes,1,131850
EMP10945,40,Female,Engineering,QA Engineer,High School,6780.1,5,4.0,2,27.0,No,2022-10-26,No,1,413539
EMP10170,25,Female,HR,HR Manager,Bachelor's,,13,1.0,3,2.9,No,2022-02-06,Yes,1,996478
EMP10760,27,Female,HR,HR Executive,PhD,7169.91,2,4.0,1,3.7,No,2022-03-16,No,1,653737
EMP10877,18,Female,Finance,Analyst,Bachelor's,2492.84,3,4.0,4,2.9,No,2017-05-11,Yes,1,296070
EMP10027,38,Female,Engineering,Senior Engineer,Master's,3821.27,1 yrs,4.0,3,0.6,Yes,2022-03-04,No,1,189201
EMP10474,39,Female,Support,Support Lead,Master's,3105.72,0,3.0,2,1.4,No,2024-04-26,No,1,296747
EMP10506,64,Female,Marketing,Marketing Executive,Bachelor's,6214.73,13,3.0,2,2.6,No,2017-08-29,No,1,826999
EMP10063,21,Male,Sales,Sales Manager,PhD,7038.23,3,3.0,1,13.0,No,2015-08-18,No,1,453131
EMP10667,55,Male,Finance,Accountant,Master's,4195.61,2,2.0,2,12.1,No,2019-12-29,No,1,131788
EMP10892,45,Male,Support,Support Executive,High School,4256.28,0,3.0,1,34.7,Yes,2024-07-10,Yes,1,428381
EMP10536,36,,Support,Support Lead,Bachelor's,6586.19,1,3.0,3,11.4,Yes,2023-11-26,No,1,700278
EMP10447,26,Female,Marketing,Marketing Executive,Master's,2908.86,6,1.0,2,3.6,No,2021-08-01,No,1,990494
EMP10983,30,,HR,HR Executive,Bachelor's,2858.3,0,2.0,4,9.8,Yes,2021-07-08,No,1,297426
EMP11193,36,Female,Support,Support Executive,Bachelor's,1200.0,1,4.0,1,3.7,No,2017-10-14,No,1,455534
EMP10101,39,Female,HR,HR Executive,Master's,4338.58,8,4.0,3,13.8,No,2023-11-30,No,1,590093
EMP10372,35,Female,Finance,Analyst,High School,6368.58,5,2.0,3,8.6,No,2024-10-28,No,1,219395
EMP10151,33,Female,Engineering,Software Engineer,Bachelor's,4637.51,1,2.0,3,5.8,Yes,2020-11-04,No,1,338137
EMP10289,24,Male,HR,HR Manager,Master's,10628.25,0,2.0,1,8.9,No,2015-02-13,No,1,916125
EMP11083,46,M,Finance,Accountant,High School,9157.237645081284,10,4.0,4,0.7,Yes,2016-01-31,No,1,861625
EMP10046,30,Male,Marketing,Marketing Executive,Master's,9761.91,0,2.0,1,0.5,No,2020-12-15,No,1,654978
EMP10725,33,Male,Support,Support Lead,Bachelor's,5121.12,2,2.0,3,2.7,No,2019-10-26,No,1,755573
EMP10924,25,Male,sales,Analyst,Bachelor's,7156.04,1,1.0,2,10.4,No,2021-10-10,No,1,149932
EMP10377,21,Female,Engineering,Senior Engineer,Bachelor's,8475.71,0,2.0,3,1.4,Yes,2017-07-09,Yes,1,651000
EMP10995,39,Male,Engineering,QA Engineer,Master's,4061.1,3,4.0,3,16.6,No,2015-10-05,No,1,304472
EMP10585,39,Female,HR,HR Executive,Bachelor's,6278.25,7,1.0,2,3.9,No,2022-03-28,No,1,348231
EMP10853,25,Male,HR,HR Executive,PhD,7264.89,1,4.0,2,7.6,Yes,2024-08-28,No,1,929059
EMP10648,27,Male,Marketing,Marketing Executive,Bachelor's,3318.59,3,4.0,2,2.6,No,2019-12-10,No,1,389600
EMP11130,25,Male,Engineering,Senior Engineer,Master's,7010.06,0,2.0,1,6.9,No,2022-02-03,No,1,331161
EMP10578,37,Female,Engineering,QA Engineer,Bachelor's,3374.39,0,1.0,4,2.6,No,2016-08-18,No,1,457205
EMP10782,34,Male,Engineering,Senior Engineer,PhD,1701.7,5,2.0,3,18.2,No,2018-05-14,No,1,127981
EMP11141,48,Male,Marketing,Marketing Executive,Bachelor's,6439.67,2,3.0,4,543.815141268928,Y,2019-05-03,No,1,130061
EMP99009,43,Male,HR,HR Executive,Bachelor's,6308.15,0,3.0,4,9.3,No,2024-01-24,No,1,803210
EMP11057,45,Male,SALES,Accountant,Bachelor's,4089.59,0,1.0,2,6.3,No,2024-03-25,No,1,435141
EMP10562,57,Male,Support,Support Lead,High School,4314.83,3,4.0,3,3.9,No,2023-04-26,No,1,260961
EMP10698,35,Male,Support,Support Executive,Bachelor's,9543.04,1,1.0,1,3.8,No,2020-02-04,No,1,268053
EMP10109,38,Male,Sales,Sales Executive,Master's,3325.02,0,1.0,1,2.7,Yes,2022-10-08,No,1,840813
EMP11023,33,,Finance,Accountant,Bachelor's,6823.79,2,2.0,1,21.3,No,2022-07-16,No,1,837139
